"User ID","Age","Gender","Height (cm)","Weight (kg)","Workout Type","Workout Duration (mins)","Calories Burned","Heart Rate (bpm)","Steps Taken","Distance (km)","Workout Intensity","Sleep Hours","Daily Calories Intake","Resting Heart Rate (bpm)","Mood Before Workout","Mood After Workout","Age Group"
217,49,"Female",181,57,"Cardio",108,398,88,19970,14.99,"Medium",5.4,3925,85,"Stressed","Fatigued","Middle-aged"
244,56,"Female",191,64,"Yoga",118,220,158,12358,14.64,"Medium",6.9,2096,76,"Neutral","Energized","Senior"
248,59,"Female",194,101,"HIIT",113,492,160,1264,13.86,"High",6.5,3162,57,"Tired","Energized","Senior"
270,19,"Female",192,68,"Strength",78,967,103,2569,8.54,"Medium",4.1,3415,69,"Happy","Neutral","Young"
278,56,"Other",164,50,"Running",104,884,116,9176,0.82,"Medium",5,2193,74,"Neutral","Fatigued","Senior"
282,46,"Female",155,63,"Cardio",119,890,131,19708,11.09,"Low",6.3,1773,59,"Happy","Energized","Middle-aged"
299,23,"Other",152,52,"Strength",40,972,163,16692,1.71,"High",4.9,3705,76,"Neutral","Energized","Young"
300,18,"Female",194,50,"HIIT",15,380,116,6507,11.15,"Low",6.4,1633,53,"Happy","Neutral","Young"
340,30,"Other",195,50,"Cardio",118,375,95,10211,8.57,"High",4.7,1992,88,"Stressed","Fatigued","Young"
347,50,"Male",150,104,"Cardio",76,150,176,4499,13.84,"Medium",5.1,2627,83,"Happy","Fatigued","Middle-aged"
351,57,"Female",199,107,"Running",22,366,160,18807,13.99,"Low",4.9,2871,60,"Neutral","Neutral","Senior"
362,38,"Male",198,50,"HIIT",39,214,81,3133,11.14,"High",7.9,2753,89,"Neutral","Fatigued","Middle-aged"
378,59,"Other",182,69,"Running",110,176,81,3659,4.69,"High",7.9,3838,64,"Happy","Fatigued","Senior"
411,22,"Female",183,70,"Running",119,779,177,2027,12.8,"High",6.7,3927,51,"Stressed","Neutral","Young"
419,21,"Other",150,50,"Yoga",108,956,179,12442,10.26,"High",9.1,3071,75,"Stressed","Neutral","Young"
426,59,"Male",162,90,"HIIT",118,725,81,3291,10.46,"High",6.8,3199,51,"Tired","Fatigued","Senior"
427,44,"Female",156,63,"Strength",92,103,177,4357,14.75,"High",4.9,1575,66,"Neutral","Neutral","Middle-aged"
428,58,"Male",150,92,"Running",78,661,174,7885,5.42,"High",4.4,2372,50,"Stressed","Fatigued","Senior"
429,29,"Female",160,88,"Strength",76,953,82,19924,3.46,"Low",5,1879,68,"Neutral","Fatigued","Young"
443,53,"Female",196,54,"Cycling",25,626,104,18672,0.5,"High",6.6,3676,53,"Neutral","Energized","Senior"
474,25,"Male",178,118,"Yoga",112,992,82,15887,14.39,"Medium",5.4,2455,60,"Neutral","Neutral","Young"
478,20,"Female",187,62,"Cycling",10,656,97,8183,0.58,"Medium",9.6,1816,68,"Happy","Neutral","Young"
498,24,"Male",197,117,"Cardio",59,115,151,14671,13.67,"Low",7.2,3823,53,"Happy","Neutral","Young"
502,44,"Other",193,118,"Cardio",45,346,171,14277,14.03,"High",4,3939,73,"Happy","Fatigued","Middle-aged"
516,18,"Male",176,60,"Yoga",34,210,178,17525,8.38,"Medium",9.3,3196,52,"Tired","Neutral","Young"
539,18,"Male",182,95,"Running",28,117,99,5206,5.28,"Low",9.5,1572,63,"Tired","Neutral","Young"
548,19,"Other",168,117,"Yoga",19,848,151,7439,14.35,"Medium",5.1,1791,78,"Neutral","Neutral","Young"
577,18,"Female",168,93,"Cardio",15,251,178,4379,10.98,"High",10,3324,60,"Stressed","Neutral","Young"
580,58,"Female",195,52,"Running",94,947,168,1284,3.68,"Medium",7.1,1804,51,"Neutral","Neutral","Senior"
596,18,"Female",168,113,"HIIT",100,101,140,19947,2.84,"High",8,3790,53,"Happy","Fatigued","Young"
607,59,"Other",156,112,"Cardio",57,903,114,10311,14.76,"Low",8.7,3423,89,"Happy","Fatigued","Senior"
612,51,"Male",178,109,"Cardio",104,991,112,4419,0.89,"Medium",6.5,3634,59,"Tired","Neutral","Senior"
628,20,"Male",188,118,"Running",112,318,172,18688,4.84,"Low",10,3846,60,"Happy","Neutral","Young"
638,23,"Female",160,65,"Cardio",43,952,167,18505,0.54,"Medium",8.1,3310,63,"Tired","Energized","Young"
640,44,"Female",197,109,"HIIT",116,146,177,2813,1.23,"High",7.2,2636,83,"Happy","Neutral","Middle-aged"
642,57,"Male",158,77,"Running",54,949,86,1720,3.5,"Low",9.6,3775,55,"Stressed","Neutral","Senior"
663,58,"Male",178,96,"Cardio",105,937,162,19009,2.03,"Medium",9.5,1664,82,"Tired","Neutral","Senior"
665,24,"Female",185,93,"Cycling",47,997,175,3878,14.91,"Medium",9.2,3613,64,"Neutral","Fatigued","Young"
667,18,"Female",155,102,"HIIT",20,457,90,12273,14.02,"High",9.1,3492,89,"Neutral","Energized","Young"
677,39,"Male",199,106,"HIIT",23,991,141,3145,8.44,"High",4.3,2371,79,"Happy","Neutral","Middle-aged"
686,40,"Female",176,50,"Running",44,789,91,1521,1.15,"Low",9.7,2736,67,"Tired","Fatigued","Middle-aged"
687,19,"Other",198,71,"HIIT",39,104,126,6134,3.87,"Low",6.5,1644,56,"Tired","Energized","Young"
694,29,"Female",199,53,"Running",29,800,161,17664,10.72,"High",4.2,3583,88,"Happy","Fatigued","Young"
722,19,"Other",198,113,"Yoga",83,961,163,19286,8.44,"Medium",5.3,2459,77,"Happy","Neutral","Young"
736,29,"Other",169,97,"Strength",67,699,173,1079,12.89,"High",5.8,1673,50,"Stressed","Neutral","Young"
737,29,"Other",188,51,"Running",105,948,86,2091,1.66,"Low",6.1,2353,58,"Tired","Fatigued","Young"
781,59,"Female",166,114,"HIIT",103,142,81,12694,9.08,"Low",5.9,1736,52,"Neutral","Neutral","Senior"
785,27,"Female",172,119,"Cycling",105,760,150,1183,2.25,"High",8.5,3630,51,"Tired","Neutral","Young"
803,19,"Male",195,115,"Running",68,914,173,7665,14.09,"Medium",6.9,3546,61,"Tired","Neutral","Young"
821,42,"Male",193,115,"Yoga",80,103,116,9516,0.51,"Low",9.4,3918,86,"Neutral","Neutral","Middle-aged"
825,52,"Other",160,91,"Running",105,135,81,19372,5.06,"Low",6.7,2588,56,"Happy","Fatigued","Senior"
830,43,"Other",150,80,"Cycling",41,197,84,12235,14.67,"High",5,2649,89,"Stressed","Fatigued","Middle-aged"
847,47,"Female",190,69,"Yoga",114,327,80,3791,3.73,"Low",9.1,1890,53,"Neutral","Neutral","Middle-aged"
861,27,"Female",167,51,"Strength",111,879,96,18342,11.09,"High",9,1515,70,"Stressed","Fatigued","Young"
867,45,"Male",195,77,"Strength",116,994,88,16205,1.13,"Medium",9.7,2347,68,"Neutral","Energized","Middle-aged"
901,18,"Female",188,86,"Cycling",119,491,129,16879,2.12,"Medium",4.7,3967,68,"Happy","Energized","Young"
910,56,"Other",161,73,"Cycling",76,214,82,19826,8.15,"Low",4.5,2698,88,"Happy","Neutral","Senior"
912,19,"Other",177,115,"Running",119,480,165,13449,6.71,"Medium",7.9,1527,88,"Stressed","Neutral","Young"
941,38,"Female",196,81,"Cardio",119,732,177,3002,2.63,"Low",6.4,1550,69,"Neutral","Energized","Middle-aged"
957,26,"Male",186,70,"Cardio",18,904,87,1788,9.79,"Medium",4.4,3295,87,"Stressed","Energized","Young"
970,25,"Other",187,102,"Cardio",14,586,150,19260,1.17,"High",8.4,1673,50,"Happy","Neutral","Young"
990,18,"Other",181,94,"Yoga",72,115,106,19323,1.82,"Medium",4.1,2444,83,"Tired","Neutral","Young"
1003,19,"Other",171,115,"Cardio",88,619,106,2425,1.43,"High",4.2,2226,84,"Neutral","Energized","Young"
1010,33,"Female",197,93,"HIIT",113,190,83,3784,14.35,"Low",7.2,2097,88,"Stressed","Fatigued","Middle-aged"
1025,18,"Other",152,62,"Strength",75,947,152,5913,0.53,"High",5,3043,74,"Tired","Neutral","Young"
1037,32,"Female",187,119,"HIIT",112,200,137,12459,12.48,"High",4.1,1673,60,"Neutral","Energized","Middle-aged"
1040,23,"Female",152,104,"Yoga",48,916,147,12867,1.5,"High",9.9,2310,89,"Tired","Fatigued","Young"
1046,50,"Female",184,113,"HIIT",78,179,90,2850,2.94,"Medium",4.1,3958,55,"Happy","Neutral","Middle-aged"
1049,55,"Male",188,94,"HIIT",11,980,110,6314,11.93,"High",7.4,1973,89,"Stressed","Energized","Senior"
1053,22,"Other",194,57,"Strength",16,183,177,2399,13.28,"Low",7.2,3679,76,"Happy","Energized","Young"
1100,59,"Female",178,101,"Cardio",38,433,162,2044,14.65,"Low",9.4,3606,61,"Stressed","Fatigued","Senior"
1122,50,"Male",183,102,"Cardio",61,927,140,19790,14.68,"High",6.2,1547,58,"Tired","Fatigued","Middle-aged"
1143,48,"Female",150,55,"HIIT",13,195,138,8560,12.72,"Medium",9.4,1800,75,"Stressed","Neutral","Middle-aged"
1167,18,"Other",153,62,"Cycling",16,988,108,2409,2.16,"High",5.4,3940,66,"Stressed","Neutral","Young"
1213,19,"Male",199,73,"Strength",87,106,81,5435,1.3,"High",5.9,3132,87,"Neutral","Fatigued","Young"
1218,25,"Other",150,50,"Yoga",86,876,81,7328,11.53,"Medium",9.8,3400,76,"Stressed","Neutral","Young"
1227,19,"Male",151,52,"Cycling",16,123,116,7301,10.09,"High",4.6,2403,80,"Tired","Energized","Young"
1297,58,"Male",176,50,"Running",115,234,149,9517,6.5,"Medium",9.7,3767,84,"Tired","Fatigued","Senior"
1298,56,"Other",153,117,"Running",33,983,140,2421,3.39,"High",6.7,2501,77,"Stressed","Energized","Senior"
1305,52,"Male",198,91,"Cardio",69,132,138,3769,13,"High",5.7,1544,51,"Neutral","Neutral","Senior"
1331,20,"Other",163,54,"Strength",68,788,84,18626,5.5,"Low",10,1668,54,"Stressed","Fatigued","Young"
1349,54,"Other",182,116,"Cycling",21,392,173,5791,13.99,"Low",4.4,1539,66,"Tired","Neutral","Senior"
1362,45,"Female",198,87,"Yoga",13,415,80,17085,14.74,"Medium",8.6,2570,85,"Neutral","Energized","Middle-aged"
1373,19,"Other",197,66,"Cardio",111,917,104,9778,3.55,"High",4.5,1683,66,"Stressed","Neutral","Young"
1380,49,"Female",172,73,"Cycling",15,993,98,12889,1.04,"Medium",9.4,1650,54,"Stressed","Energized","Middle-aged"
1382,55,"Other",198,53,"HIIT",13,175,111,2455,10.2,"Low",6.2,3944,76,"Neutral","Neutral","Senior"
1405,53,"Other",191,95,"Cardio",114,975,166,15149,0.77,"Medium",8.5,3873,63,"Tired","Energized","Senior"
1433,33,"Female",198,56,"HIIT",109,257,103,7892,14.5,"Medium",9.5,2382,85,"Tired","Neutral","Middle-aged"
1451,42,"Male",196,94,"Yoga",108,245,176,3066,1.61,"Low",7,1799,50,"Stressed","Fatigued","Middle-aged"
1452,52,"Female",199,119,"Cycling",111,391,169,8472,12.72,"Medium",6.8,3713,51,"Happy","Fatigued","Senior"
1455,50,"Female",197,54,"Strength",92,111,159,18734,7.17,"Medium",4.7,3306,89,"Stressed","Fatigued","Middle-aged"
1466,20,"Other",192,109,"Cycling",87,390,81,1573,7.06,"Medium",6.9,3756,85,"Stressed","Fatigued","Young"
1500,28,"Female",174,63,"Yoga",110,896,172,18048,10.77,"High",4.1,3756,50,"Tired","Neutral","Young"
1507,51,"Female",180,56,"Cardio",18,960,178,6791,4.76,"Low",9.4,3897,70,"Stressed","Energized","Senior"
1546,50,"Male",199,105,"Strength",11,346,156,6768,14.84,"Medium",5.4,2556,89,"Stressed","Neutral","Middle-aged"
1547,59,"Other",193,61,"HIIT",59,729,87,19495,8.66,"High",4.1,3838,77,"Tired","Energized","Senior"
1554,39,"Male",164,50,"Cycling",117,980,90,2551,6.96,"Low",6.4,2189,63,"Neutral","Neutral","Middle-aged"
1587,58,"Female",160,51,"Running",58,130,141,4031,2.32,"High",9.2,2274,87,"Tired","Fatigued","Senior"
1608,19,"Other",150,60,"HIIT",24,186,89,19873,13.39,"Medium",9.2,2057,50,"Neutral","Neutral","Young"
1614,37,"Female",159,62,"Yoga",119,391,104,3458,13.98,"High",9.9,3528,50,"Neutral","Neutral","Middle-aged"
1615,55,"Other",154,112,"Cardio",10,173,144,19669,11.09,"Medium",7.6,3938,68,"Happy","Neutral","Senior"
1626,36,"Male",195,106,"Cycling",76,967,168,13261,14.18,"Low",9.6,1659,51,"Neutral","Neutral","Middle-aged"
1657,59,"Other",150,115,"Cycling",115,490,174,15203,11.49,"Low",9.7,2605,84,"Stressed","Fatigued","Senior"
1661,23,"Male",198,118,"HIIT",67,861,80,11761,2.67,"Low",6.2,1856,59,"Stressed","Energized","Young"
1675,58,"Male",151,92,"Yoga",33,937,94,14716,13.8,"Low",9.8,2330,56,"Tired","Energized","Senior"
1687,28,"Other",163,55,"Cardio",58,714,172,1955,12.83,"Medium",4,1708,89,"Happy","Fatigued","Young"
1703,53,"Male",188,58,"Yoga",24,475,86,1634,0.78,"Low",5.4,1626,83,"Stressed","Fatigued","Senior"
1704,24,"Female",151,112,"Cardio",30,833,88,9952,0.71,"Low",5.9,1503,71,"Happy","Fatigued","Young"
1709,22,"Other",191,114,"HIIT",63,148,89,10509,14.92,"Medium",9.3,1732,84,"Happy","Neutral","Young"
1724,33,"Other",155,59,"Yoga",50,911,106,10359,0.55,"Low",10,3562,88,"Tired","Neutral","Middle-aged"
1784,19,"Other",181,118,"Cycling",46,228,80,8167,3.59,"Low",9.5,1799,87,"Tired","Energized","Young"
1796,56,"Male",181,119,"Cardio",95,989,168,11551,2.08,"Medium",9.4,3203,62,"Stressed","Fatigued","Senior"
1804,18,"Female",194,114,"Strength",94,256,139,4850,2.31,"Low",5.5,1567,51,"Tired","Fatigued","Young"
1888,55,"Other",158,59,"Strength",84,957,138,1017,14.77,"Low",5.7,2148,54,"Tired","Fatigued","Senior"
1891,24,"Other",152,50,"Cycling",96,546,87,4046,13.22,"Low",4.1,1933,80,"Neutral","Energized","Young"
1916,59,"Female",197,112,"HIIT",50,773,119,2307,12.27,"Low",6.9,1577,73,"Stressed","Energized","Senior"
1943,53,"Female",180,64,"Yoga",46,982,80,17186,12.5,"Low",7.7,1595,57,"Tired","Neutral","Senior"
1987,27,"Other",152,116,"HIIT",102,989,165,18714,4.7,"Medium",5.7,1828,85,"Tired","Fatigued","Young"
2006,34,"Female",196,88,"HIIT",119,109,167,2090,13.18,"High",6.4,1564,78,"Neutral","Energized","Middle-aged"
2014,59,"Other",198,64,"Cardio",77,189,124,17945,0.9,"Low",5.4,3280,52,"Stressed","Neutral","Senior"
2054,55,"Female",199,60,"HIIT",41,938,107,18652,11.11,"Medium",4.3,1770,87,"Neutral","Neutral","Senior"
2066,49,"Other",168,88,"Yoga",118,987,177,2746,14.11,"High",6.3,3976,79,"Stressed","Neutral","Middle-aged"
2069,28,"Female",161,96,"Running",116,849,81,17594,14.33,"High",6.9,1813,51,"Neutral","Neutral","Young"
2080,18,"Other",195,101,"Strength",12,148,160,13372,6.3,"High",6.8,1631,53,"Happy","Energized","Young"
2083,23,"Male",197,65,"Strength",11,782,97,4530,0.66,"Low",7.9,1564,82,"Stressed","Neutral","Young"
2109,47,"Female",184,112,"Strength",18,612,167,2611,13.06,"Low",5.1,1684,52,"Stressed","Neutral","Middle-aged"
2116,50,"Female",154,113,"Cardio",118,889,94,3325,0.52,"Low",8.1,1548,53,"Tired","Neutral","Middle-aged"
2118,26,"Female",150,51,"HIIT",112,117,96,10988,12.37,"Low",8.3,3321,70,"Happy","Neutral","Young"
2156,19,"Female",152,115,"Strength",113,343,115,17289,0.68,"Low",8.1,1513,61,"Happy","Neutral","Young"
2168,44,"Male",159,111,"Yoga",83,314,80,19754,8.31,"Low",9.4,1511,87,"Tired","Energized","Middle-aged"
2202,40,"Female",152,80,"HIIT",19,914,167,1260,10.65,"Medium",8,1631,61,"Stressed","Energized","Middle-aged"
2216,59,"Male",155,57,"HIIT",23,553,117,17692,9.78,"High",4.3,3362,88,"Neutral","Energized","Senior"
2243,59,"Other",150,111,"Cycling",111,578,143,16555,0.87,"High",8.2,3269,79,"Neutral","Energized","Senior"
2292,19,"Other",174,63,"Cycling",119,985,179,3562,13.98,"High",4.7,2708,58,"Stressed","Energized","Young"
2394,21,"Male",171,117,"Strength",22,257,161,2557,9.68,"Low",9.8,3741,86,"Happy","Neutral","Young"
2475,28,"Male",158,118,"Strength",54,721,176,17490,14.22,"Low",10,1677,79,"Tired","Energized","Young"
2558,18,"Other",150,61,"Yoga",31,429,81,4178,0.54,"High",7.3,3046,53,"Stressed","Fatigued","Young"
2568,20,"Male",197,58,"Yoga",110,178,176,1861,14.49,"Medium",8.2,1507,83,"Tired","Energized","Young"
2657,19,"Female",188,61,"Running",64,147,111,18126,5.48,"Medium",8.4,3812,89,"Stressed","Neutral","Young"
2679,37,"Male",154,117,"HIIT",96,744,85,9611,0.67,"Low",7.9,3884,50,"Tired","Fatigued","Middle-aged"
2685,59,"Other",159,104,"Strength",55,897,150,19435,14.8,"Low",7.7,3950,65,"Neutral","Energized","Senior"
2704,21,"Male",150,56,"Running",17,454,129,7050,13.42,"High",5.3,3961,83,"Tired","Neutral","Young"
2713,57,"Male",192,56,"Running",119,948,112,15055,13.96,"High",8.6,3347,56,"Stressed","Energized","Senior"
2720,57,"Male",174,113,"HIIT",73,105,94,14387,11.45,"Low",10,1669,58,"Happy","Fatigued","Senior"
2756,34,"Other",189,117,"Yoga",18,928,173,18733,5.88,"High",4.1,2830,59,"Tired","Neutral","Middle-aged"
2764,21,"Other",195,53,"Cycling",13,289,82,12338,9.95,"Low",8.6,3653,63,"Neutral","Energized","Young"
2782,45,"Other",156,50,"Cycling",22,849,177,19476,12.02,"Low",5.3,3680,54,"Happy","Energized","Middle-aged"
2794,24,"Other",197,115,"Cycling",116,696,104,5880,2.66,"Medium",9.4,1518,58,"Neutral","Energized","Young"
2795,58,"Other",199,72,"Strength",56,981,179,1148,7.68,"Low",9.1,2142,75,"Tired","Fatigued","Senior"
2829,20,"Female",162,52,"Running",90,925,81,4827,9.83,"Low",4.3,2229,84,"Neutral","Fatigued","Young"
2847,18,"Female",150,63,"Strength",61,803,121,19610,14.76,"Medium",7.8,3898,56,"Happy","Fatigued","Young"
2853,25,"Male",191,103,"Strength",67,428,85,1092,9.48,"High",4,3910,78,"Neutral","Fatigued","Young"
2958,25,"Female",151,114,"Yoga",118,947,88,6311,11.27,"Low",5.6,1899,88,"Happy","Fatigued","Young"
2971,19,"Other",156,56,"Yoga",115,438,167,2214,0.66,"High",4.8,3415,76,"Happy","Energized","Young"
2978,20,"Other",198,111,"Running",100,764,159,1006,14.86,"Low",6.6,3907,66,"Stressed","Fatigued","Young"
2984,59,"Other",197,75,"Running",106,623,89,4750,14.9,"Low",5,1996,57,"Stressed","Energized","Senior"
3010,57,"Female",150,65,"Strength",100,986,106,7270,3.97,"Medium",9.8,3831,84,"Neutral","Fatigued","Senior"
3073,19,"Other",156,79,"Yoga",64,971,178,19298,11.84,"Low",8.8,1624,64,"Tired","Energized","Young"
3076,19,"Other",151,69,"Cycling",46,144,88,2586,11.64,"Medium",4.3,3248,55,"Stressed","Neutral","Young"
3088,53,"Male",160,73,"HIIT",101,911,177,12103,14.85,"High",4.4,2235,51,"Tired","Energized","Senior"
3133,59,"Male",154,116,"HIIT",108,339,121,18987,4.03,"Low",5,1590,66,"Happy","Fatigued","Senior"
3196,59,"Male",151,86,"HIIT",64,211,165,19846,5.4,"Low",6.3,1602,85,"Stressed","Neutral","Senior"
3251,55,"Other",183,72,"Cardio",52,270,174,11397,1.89,"High",10,1564,56,"Happy","Energized","Senior"
3278,25,"Male",177,51,"Strength",96,170,90,15290,13.12,"Medium",8.8,1521,51,"Stressed","Neutral","Young"
3363,27,"Male",154,99,"Yoga",110,197,90,3758,14.35,"Medium",6.5,1588,88,"Happy","Fatigued","Young"
3370,51,"Other",186,117,"Cycling",34,748,96,17173,14.25,"High",4.1,1612,55,"Neutral","Neutral","Senior"
3550,23,"Male",196,108,"HIIT",67,875,177,15288,14.52,"High",9.8,2224,51,"Tired","Fatigued","Young"
3555,52,"Female",173,113,"Strength",26,896,81,15534,2.53,"High",7.9,1524,89,"Neutral","Neutral","Senior"
3571,47,"Other",184,50,"Yoga",115,904,83,19732,8.3,"High",6.7,1565,62,"Stressed","Energized","Middle-aged"
3593,53,"Male",161,50,"HIIT",36,758,89,10712,4.36,"Low",4.3,1547,84,"Tired","Neutral","Senior"
3608,29,"Female",182,115,"Cycling",97,719,172,17694,2.19,"Low",4.1,2258,87,"Stressed","Energized","Young"
3655,58,"Female",195,79,"Yoga",112,743,176,1729,14.2,"Low",5.9,1659,72,"Stressed","Fatigued","Senior"
3674,49,"Other",157,61,"Yoga",11,135,86,19366,12.23,"Low",5.3,1867,67,"Tired","Energized","Middle-aged"
3678,47,"Male",171,101,"Cardio",21,722,84,6491,0.72,"Low",4,1579,69,"Happy","Fatigued","Middle-aged"
3913,51,"Male",194,59,"Running",11,794,83,17370,14.11,"Medium",9.9,1556,66,"Stressed","Energized","Senior"
3977,28,"Male",150,116,"Cycling",23,614,170,6116,12.41,"Medium",7.1,1562,89,"Stressed","Energized","Young"
3998,27,"Male",160,51,"Cardio",52,259,95,19015,14.69,"Medium",4.9,3152,57,"Neutral","Energized","Young"
4000,44,"Other",199,87,"HIIT",19,629,121,1505,12.84,"High",4.1,1582,83,"Stressed","Fatigued","Middle-aged"
4075,20,"Female",170,54,"Cardio",115,463,86,13287,2.68,"High",8.7,3857,88,"Neutral","Energized","Young"
4140,56,"Female",192,93,"Cardio",12,994,80,2422,13.92,"Low",4.5,1515,80,"Happy","Fatigued","Senior"
4206,21,"Female",151,52,"Strength",73,168,93,11991,1.5,"Low",8.5,3988,58,"Tired","Energized","Young"
4229,23,"Female",164,56,"HIIT",107,139,95,16746,14.9,"Medium",6.9,2253,52,"Tired","Fatigued","Young"
4264,20,"Female",182,84,"Yoga",22,810,178,2133,1.48,"High",9.5,2564,84,"Happy","Energized","Young"
4280,36,"Male",198,51,"Cycling",12,228,122,19275,10.14,"Medium",10,2075,51,"Neutral","Fatigued","Middle-aged"
4317,19,"Female",165,52,"HIIT",23,988,90,10153,14.61,"High",7.5,3860,85,"Tired","Neutral","Young"
4333,23,"Other",152,106,"Strength",24,900,95,2230,0.53,"Medium",8.4,2317,85,"Stressed","Energized","Young"
4431,26,"Other",150,51,"HIIT",74,908,106,16721,13.95,"Medium",4,2925,85,"Neutral","Energized","Young"
4594,59,"Male",199,52,"Yoga",76,558,149,1745,8.01,"Medium",9.4,2865,89,"Stressed","Neutral","Senior"
4622,36,"Other",190,119,"HIIT",35,962,97,14521,8.14,"Low",10,1550,82,"Happy","Fatigued","Middle-aged"
4653,19,"Female",198,115,"Running",79,261,118,16939,11.64,"Low",9,1524,87,"Happy","Neutral","Young"
